Date,High,Low,Open,Close,VOLUME,Adj Close
11.09.2017,109865.2,108957.8,109029.3,109458,1121206000,109458
12.09.2017,109735.4,108691.1,109573.4,109129.6,1071610000,109129.6
13.09.2017,109501.8,108155.5,109148.6,108155.5,974923600,108155.5
14.09.2017,108793.5,107449,108264.9,108244.2,1211845000,108244.2
15.09.2017,108534.6,107741.7,108342.9,107741.7,750052400,107741.7
18.09.2017,108073.9,106534.6,108016.9,106534.6,928679400,106534.6
19.09.2017,106733.2,104620.4,106510.6,104917.8,1076769000,104917.8
20.09.2017,105592.6,104578.8,105292,105323.7,796614300,105323.7
21.09.2017,105426.4,103836.9,105000.9,104001.2,756228800,104001.2
22.09.2017,104713.7,103411.8,104458.7,104122.9,770819600,104122.9
25.09.2017,103676.8,101752,103676.8,102270.2,1050942000,102270.2
26.09.2017,104136.8,102409,102848.7,103929.3,831780800,103929.3
27.09.2017,104035.7,101218.3,103933.2,101218.3,968753900,101218.3
28.09.2017,102937,100987.1,101150.2,102651.1,825816400,102651.1
29.09.2017,103320,102242.9,103038.6,102907.7,821585000,102907.7
02.10.2017,104063.1,102883.5,102934.4,103930.7,739162400,103930.7
03.10.2017,104488.2,103421.7,103997.9,103907.6,990980000,103907.6
04.10.2017,104911.6,104095.2,104274.7,104547.9,1037548000,104547.9
05.10.2017,105047.7,104203.9,104795.5,104334.3,893159200,104334.3
06.10.2017,104238,103544.1,104177.9,104137.5,757841800,104137.5
09.10.2017,101298,99210.33,100324.4,101298,1147391000,101298
10.10.2017,103576,102198,102494.1,103394,876357500,103394
11.10.2017,104736.4,102786.6,103145.2,103816,1118898000,103816
12.10.2017,105932.2,104586.4,105045.2,105932.2,805114200,105932.2
13.10.2017,106598.5,105339.9,106098.8,106225.7,834883800,106225.7
16.10.2017,107010,106088.3,106554.6,106474.5,817251700,106474.5
17.10.2017,107678,106571,106668.1,106990.9,864500400,106990.9
18.10.2017,107579.5,106730.7,107484.6,106926.4,872076500,106926.4
19.10.2017,108455.8,107232.9,107404,108433.5,794618300,108433.5
20.10.2017,109273,107917.6,108760.4,108488.7,1024677000,108488.7
23.10.2017,108167.5,107303.2,108167.5,107303.2,770590400,107303.2
24.10.2017,107994.9,107134.3,107603.4,107206.3,828097000,107206.3
25.10.2017,108485.7,107560.5,107560.5,108354.8,813379500,108354.8
26.10.2017,108847.5,107334.8,108293.2,107334.8,839120700,107334.8
27.10.2017,108075.8,106932.1,107096.5,107884,976499300,107884
30.10.2017,109074.8,108294.5,108781.8,108466.8,821242800,108466.8
31.10.2017,110142.6,108492.9,108722.4,110142.6,1249311000,110142.6
01.11.2017,113501.9,110225.5,110512.9,113024.3,1995841000,113024.3
02.11.2017,114539.8,112609.7,114258,112994.9,1849148000,112994.9
03.11.2017,113488.7,110576,113069.8,111292.8,1401399000,111292.8
06.11.2017,115093.3,111767.3,111914.2,114165.7,1228418000,114165.7
07.11.2017,114665.5,112271.9,114441.9,112271.9,1231272000,112271.9
08.11.2017,113018.1,110758.7,112848.2,111894.5,1355783000,111894.5
09.11.2017,112498.4,109919.5,112210.3,110246.5,1159382000,110246.5
10.11.2017,110662,108712.6,110473.1,108949.4,975162800,108949.4
13.11.2017,109888.8,108011,109638.1,108859.6,1008993000,108859.6
